"measure_cd","measure_title","rows"
"MIPS_GRP_290_overall","Assessment of Mood Disorders and Psychosis for Patients with Parkinson's Disease","28"
"MIPS_GRP_293_overall","Rehabilitative Therapy Referral for Patients with Parkinson's Disease","51"
"MIPS_GRP_309_overall","Cervical Cancer Screening","1917"
"MIPS_GRP_310_overall","Chlamydia Screening for Women","832"
"MIPS_GRP_317_overall","Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented","396"
"MIPS_GRP_318_overall","Falls: Screening for Future Fall Risk","3212"
"MIPS_GRP_320_overall","Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients","57"
"MIPS_GRP_322_overall","Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low-Risk Surgery Patients","83"
"MIPS_GRP_324_overall","Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients","94"
"MIPS_GRP_326_overall","Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy","116"
"MIPS_GRP_331_overall","Adult Sinusitis: Antibiotic Prescribed for Acute Viral Sinusitis (Overuse)","378"
"MIPS_GRP_332_overall","Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin With or Without Clavulanate Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use)","110"
"MIPS_GRP_338_overall","HIV Viral Load Suppression","20"
"MIPS_GRP_350_overall","Total Knee or Hip Replacement: Shared Decision-Making: Trial of Conservative (Non-surgical) Therapy","74"
"MIPS_GRP_351_overall","Total Knee or Hip Replacement: Venous Thromboembolic and Cardiovascular Risk Evaluation","59"
"MIPS_GRP_354_overall","Anastomotic Leak Intervention","25"
"MIPS_GRP_355_overall","Unplanned Reoperation within the 30 Day Postoperative Period","144"
"MIPS_GRP_356_overall","Unplanned Hospital Readmission within 30 Days of Principal Procedure","35"
"MIPS_GRP_357_overall","Surgical Site Infection (SSI)","182"
"MIPS_GRP_358_overall","Patient-Centered Surgical Risk Assessment and Communication","99"
"MIPS_GRP_360_overall","Optimizing Patient Exposure to Ionizing Radiation: Count of Potential High Dose Radiation Imaging Studies: Computed Tomography (CT) and Cardiac Nuclear Medicine Studies","114"
"MIPS_GRP_364_overall","Optimizing Patient Exposure to Ionizing Radiation: Appropriateness: Follow-up CT Imaging for Incidentally Detected Pulmonary Nodules According to Recommended Guidelines","261"
"MIPS_GRP_366_30Days","Follow-Up Care for Children Prescribed ADHD Medication (ADD)","144"
"MIPS_GRP_366_overall","Follow-Up Care for Children Prescribed ADHD Medication (ADD)","53"
"MIPS_GRP_370_adolescents","Depression Remission at Twelve Months","384"
"MIPS_GRP_370_adults","Depression Remission at Twelve Months","137"
"MIPS_GRP_370_rollup","Depression Remission at Twelve Months","33"
"MIPS_GRP_374_overall","Closing the Referral Loop: Receipt of Specialist Report","2475"
"MIPS_GRP_376_overall","Functional Status Assessment for Total Hip Replacement","228"
"MIPS_GRP_377_overall","Functional Status Assessments for Heart Failure","249"
"MIPS_GRP_378_overall","Children Who Have Dental Decay or Cavities","20"
"MIPS_GRP_379_overall","Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists","27"
"MIPS_GRP_382_overall","Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment","236"
"MIPS_GRP_384_overall","Adult Primary Rhegmatogenous Retinal Detachment Surgery: No Return to the Operating Room Within 90 Days of Surgery","62"
"MIPS_GRP_385_overall","Adult Primary Rhegmatogenous Retinal Detachment Surgery: Visual Acuity Improvement Within 90 Days of Surgery","145"
"MIPS_GRP_389_overall","Cataract Surgery: Difference Between Planned and Final Refraction","82"
"MIPS_GRP_394_HPV","Immunizations for Adolescents","173"
"MIPS_GRP_394_meningococcal","Immunizations for Adolescents","173"
"MIPS_GRP_394_overall","Immunizations for Adolescents","174"
"MIPS_GRP_394_Tdap","Immunizations for Adolescents","174"
"MIPS_GRP_395_overall","Lung Cancer Reporting (Biopsy/Cytology Specimens)","201"
"MIPS_GRP_396_overall","Lung Cancer Reporting (Resection Specimens)","134"
"MIPS_GRP_397_overall","Melanoma Reporting","140"
"MIPS_GRP_398_adultCtrlNoExacRisk","Optimal Asthma Control","25"
"MIPS_GRP_398_adultsNoRiskExac","Optimal Asthma Control","24"
"MIPS_GRP_398_adultsWellCtrl","Optimal Asthma Control","24"
"MIPS_GRP_398_overall","Optimal Asthma Control","26"
"MIPS_GRP_400_overall","One-Time Screening for Hepatitis C Virus (HCV) for all Patients","33"
"MIPS_GRP_402_overall","Tobacco Use and Help with Quitting Among Adolescents","1020"
"MIPS_GRP_404_overall","Anesthesiology Smoking Abstinence","149"
"MIPS_GRP_405_overall","Appropriate Follow-up Imaging for Incidental Abdominal Lesions","240"
"MIPS_GRP_406_overall","Appropriate Follow-up Imaging for Incidental Thyroid Nodules in Patients","171"
"MIPS_GRP_410_overall","Psoriasis: Clinical Response to Systemic Medications","411"
"MIPS_GRP_415_overall","Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older","167"
"MIPS_GRP_416_overall","Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years","120"
"MIPS_GRP_418_overall","Osteoporosis Management in Women Who Had a Fracture","55"
"MIPS_GRP_419_overall","Overuse of Imaging for the Evaluation of Primary Headache","739"
"MIPS_GRP_424_overall","Perioperative Temperature Management","146"
"MIPS_GRP_430_overall","Prevention of Post-Operative Nausea and Vomiting (PONV) - Combination Therapy","170"
"MIPS_GRP_431_combinedPopulations","Preventive Care and Screening: Unhealthy Alcohol Use: Screening & Brief Counseling","450"
"MIPS_GRP_431_overall","Preventive Care and Screening: Unhealthy Alcohol Use: Screening & Brief Counseling","373"
"MIPS_GRP_431_screened","Preventive Care and Screening: Unhealthy Alcohol Use: Screening & Brief Counseling","450"
"MIPS_GRP_436_overall","Radiation Consideration for Adult CT: Utilization of Dose Lowering Techniques","120"
"MIPS_GRP_438_overall","Statin Therapy for the Prevention and Treatment of Cardiovascular Disease","2137"
"MIPS_GRP_439_overall","Age Appropriate Screening Colonoscopy","77"
"MIPS_GRP_440_overall","Skin Cancer: Biopsy Reporting Time - Pathologist to Clinician","222"
"MIPS_GRP_441_overall","Ischemic Vascular Disease (IVD) All or None Outcome Measure (Optimal Control)","55"
"MIPS_GRP_443_overall","Non-Recommended Cervical Cancer Screening in Adolescent Females","25"
"MIPS_GRP_450_overall","Appropriate Treatment for Patients with Stage I (T1c) - III HER2 Positive Breast Cancer","68"
"MIPS_GRP_453_overall","Percentage of Patients Who Died from Cancer Receiving Systemic Cancer-Directed Therapy in the Last 14 Days of Life (lower score  better)","78"
"MIPS_GRP_457_overall","Percentage of Patients Who Died from Cancer Admitted to Hospice for Less than 3 days (lower score - better)","40"
"MIPS_GRP_463_overall","Prevention of Post-Operative Vomiting (POV) - Combination Therapy (Pediatrics)","136"
"MIPS_GRP_464_overall","Otitis Media with Effusion: Systemic Antimicrobials - Avoidance of Inappropriate Use","23"
"MIPS_GRP_472_overall","Appropriate Use of DXA Scans in Women Under 65 Years Who Do Not Meet the Risk Factor Profile for Osteoporotic Fracture","626"
"MIPS_GRP_475_overall","HIV Screening","864"
"MIPS_GRP_477_overall","Multimodal Pain Management","105"
"MIPS_GRP_478_overall","Functional Status Change for Patients with Neck Impairments","74"
"MIPS_GRP_479_overall","Hospital-Wide, 30-Day, All-Cause Unplanned Readmission (HWR) Rate for the Merit-Based Incentive Payment System (MIPS) Groups","3473"
"MIPS_GRP_480_overall","Risk-standardized complication rate (RSCR) following elective primary total hip arthroplasty (THA) and/or total knee arthroplasty (TKA) for Merit-based Incentive Payment System (MIPS)","1316"
