"measure_cd","measure_title","rows"
"QCDR_GRP_IROMS11_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in knee rehabilitation of patients with knee injury measured via their validated Knee Outcome Survey (KOS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","173"
"QCDR_GRP_IROMS12_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with knee injury pain.","146"
"QCDR_GRP_IROMS13_overall","Failure to Progress (FTP): Proportion of patients not achieving a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with hip, leg or ankle injuries using the validated Lower Extremity Function Scale (LEFS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","251"
"QCDR_GRP_IROMS14_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with hip, leg or ankle (lower extremity except knee) injury.","227"
"QCDR_GRP_IROMS16_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with neck pain/injury.","185"
"QCDR_GRP_IROMS17_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation patients with low back pain measured via the validated Modified Low Back Pain Disability Questionnaire (MDQ) score.","244"
"QCDR_GRP_IROMS18_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with low back pain.","221"
"QCDR_GRP_IROMS19_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with arm, shoulder, and hand injury measured via the validated Disability of Arm Shoulder and Hand (DASH) score, Quick Disability of Arm Shoulder and Hand (QDASH) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","247"
"QCDR_GRP_IROMS20_overall","Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with arm, shoulder, or hand injury.","224"
"QCDR_GRP_MEX5_overall","Hammer Toe Outcome","25"
"QCDR_GRP_MSN13_overall","Screening Coronary Calcium Scoring for Cardiovascular Risk Assessment Including Coronary Artery Calcification Regional Distribution Scoring","65"
"QCDR_GRP_MSN15_overall","Use of Thyroid Imaging Reporting & Data System (TI-RADS) in Final Report to Stratify Thyroid Nodule Risk","164"
"QCDR_GRP_NHCR4_overall","Repeat screening or surveillance colonoscopy recommended within one year due to inadequate/poor bowel preparation","26"
"QCDR_GRP_PIMSH1_overall","Oncology: Advance Care Planning in Metastatic Cancer Patients","37"
"QCDR_GRP_PIMSH10_overall","Oncology: Hepatitis B Serology Testing and Prophylactic Treatment Prior to Receiving Anti-CD20 Targeting Drugs","27"
"QCDR_GRP_PIMSH2_overall","Oncology: Utilization of GCSF in Metastatic Colorectal Cancer","22"
"QCDR_GRP_PIMSH4_overall","Oncology: Patient-Reported Pain Improvement","36"
"QCDR_GRP_PIMSH9_overall","Oncology: Supportive Care Drug Utilization in Last 14 Days of Life","31"
"QCDR_GRP_QMM16_overall","IVC Filter Management Confirmation","40"
"QCDR_GRP_QMM17_overall","Appropriate Follow-up Recommendations for Ovarian-Adnexal Lesions using the Ovarian-Adnexal Reporting and Data System (O-RADS)","26"
"QCDR_GRP_QMM18_overall","Use of Breast Cancer Risk Score on Mammography","53"
"QCDR_GRP_QMM19_overall","DEXA/DXA and Fracture Risk Assessment for Patients with Osteopenia","72"
"QCDR_GRP_QMM20_overall","Opening Pressure in Lumbar Puncture","33"
"QCDR_GRP_RCOIR10_overall","Upper Extremity Edema Improvement","22"
"QCDR_GRP_RCOIR12_overall","Tunneled Hemodialysis Catheter Success","23"
"QCDR_GRP_RCOIR7_overall","Improved Access Site Bleeding","22"
"QCDR_GRP_REGCLR1_overall","Heel Pain Treatment Outcomes for Adults","28"
"QCDR_GRP_REGCLR3_overall","Bunion Outcome - Adult and Adolescent","28"
"QCDR_GRP_RPAQIR14_overall","Arteriovenous Graft Thrombectomy Success Rate","23"
